document_id,company_name,country,industry,competitor_relations_status,evidence_quality,review_status,relevant_fragments_count,principles_detected_count,synthesis_ready
jp_honda_motor,Honda Motor,Japan,automotive,explicit_section,medium,completed,1,2,yes
jp_mitsubishi_motors,Mitsubishi Motors,Japan,automotive,absent,low,needs_human_review,0,0,no
jp_nissan_motor,Nissan Motor,Japan,automotive,implicit_scattered,medium,completed,3,3,yes
jp_suzuki_motor,Suzuki Motor,Japan,automotive,implicit_scattered,medium,completed,3,3,yes
jp_toyota_motor,Toyota Motor,Japan,automotive,implicit_scattered,medium,completed,2,6,yes
jp_mufg_group,MUFG Group,Japan,banking,explicit_section,high,completed,2,4,yes
jp_resona_holdings,Resona Holdings,Japan,banking,absent,low,needs_human_review,0,0,no
jp_sumitomo_mitsui_financial_group,Sumitomo Mitsui Financial Group,Japan,banking,implicit_scattered,medium,completed,2,3,yes
jp_sumitomo_mitsui_trust_group,Sumitomo Mitsui Trust Group,Japan,banking,brief_mention,medium,completed,2,4,yes
jp_dai_ichi_life_holdings,Dai-ichi Life Holdings,Japan,insurance,brief_mention,medium,completed,1,2,yes
jp_sumitomo_life_insurance,Sumitomo Life Insurance,Japan,insurance,absent,low,needs_human_review,0,0,no
jp_tokio_marine,Tokio Marine,Japan,insurance,explicit_section,high,completed,2,4,yes
jp_jgc_holdings,JGC Holdings,Japan,construction,explicit_section,high,completed,1,3,yes
jp_kajima_corporation,Kajima Corporation,Japan,construction,explicit_section,high,completed,2,3,yes
jp_penta_ocean_construction,Penta-Ocean Construction,Japan,construction,brief_mention,medium,completed,3,4,yes
jp_shimizu_corporation,Shimizu Corporation,Japan,construction,explicit_section,high,completed,2,3,yes
jp_takenaka_corporation,Takenaka Corporation,Japan,construction,implicit_scattered,high,completed,3,4,yes
jp_internet_initiative_japan,Internet Initiative Japan,Japan,telecom,implicit_scattered,medium,completed,5,5,yes
jp_ly_corporation,LY Corporation,Japan,telecom,absent,low,needs_human_review,0,0,no
jp_ntt_docomo,NTT DOCOMO,Japan,telecom,explicit_section,medium,completed,3,3,yes
jp_itochu,ITOCHU,Japan,trading,brief_mention,medium,completed,2,2,yes
jp_marubeni_corporation,Marubeni Corporation,Japan,trading,explicit_section,high,completed,2,4,yes
jp_sumitomo_corporation,Sumitomo Corporation,Japan,trading,explicit_section,high,completed,1,5,yes
jp_mitsui_and_co,Mitsui & Co,Japan,trading,explicit_section,medium,completed,2,3,yes
jp_japan_airlines,Japan Airlines,Japan,transport,brief_mention,medium,completed,2,4,yes
jp_kawasaki_kisen_kaisha,Kawasaki Kisen Kaisha,Japan,transport,brief_mention,medium,completed,3,5,yes
jp_mitsui_osk_lines,Mitsui O.S.K. Lines,Japan,transport,brief_mention,medium,completed,3,3,yes
jp_yamato_holdings,Yamato Holdings,Japan,transport,implicit_scattered,high,completed,2,5,yes
jp_astellas_pharma_inc,Astellas Pharma Inc,Japan,pharma,implicit_scattered,high,completed,4,8,yes
jp_daiichi_sankyo_co,Daiichi Sankyo Co,Japan,pharma,explicit_section,medium,completed,1,2,yes
jp_eisai_co,Eisai Co,Japan,pharma,explicit_section,high,completed,1,3,yes
jp_otsuka_holdings_co,Otsuka Holdings Co,Japan,pharma,implicit_scattered,medium,completed,3,5,yes
jp_hitachi_ltd,"Hitachi, Ltd",Japan,electronics,explicit_section,high,completed,5,11,yes
jp_nec_corporation,NEC Corporation,Japan,electronics,implicit_scattered,medium,completed,3,4,yes
jp_panasonic,Panasonic,Japan,electronics,explicit_section,high,completed,1,4,yes
jp_sony_group,Sony Group,Japan,electronics,explicit_section,high,completed,3,6,yes
jp_daigas_group,Daigas Group,Japan,energy,explicit_section,medium,completed,2,2,yes
jp_jera,JERA,Japan,energy,explicit_section,medium,completed,1,2,yes
jp_kansai_electric_power,Kansai Electric Power,Japan,energy,brief_mention,medium,completed,3,3,yes
jp_tohoku_electric_power,Tohoku Electric Power,Japan,energy,brief_mention,medium,completed,4,4,yes
